flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
Ordering Steps,1,Sắp xếp các bước để tìm giá trị của m sao cho hệ phương trình \(\begin{cases} x + y = m \\ 2x - y = 1 \end{cases}\) có nghiệm (x;y) thỏa mãn x > 0 và y < 0.,Thứ tự đúng bao gồm giải hệ theo m rồi giải bất phương trình.,Kết hợp giải hệ và giải bất phương trình.,"Giải hệ tìm x, y theo m trước.",,
,,,,,,Giải hệ phương trình theo tham số m. Cộng hai phương trình: \(3x = m+1 \Rightarrow x = \frac{m+1}{3}\).,1
,,,,,,Thay x vào phương trình thứ nhất: \(\frac{m+1}{3} + y = m \Rightarrow y = m - \frac{m+1}{3} = \frac{3m - (m+1)}{3} = \frac{2m-1}{3}\).,2
,,,,,,Áp dụng điều kiện x > 0: \(\frac{m+1}{3} > 0 \Rightarrow m+1 > 0 \Rightarrow m > -1\).,3
,,,,,,Áp dụng điều kiện y < 0: \(\frac{2m-1}{3} < 0 \Rightarrow 2m-1 < 0 \Rightarrow 2m < 1 \Rightarrow m < 1/2\).,4
,,,,,,Kết hợp hai điều kiện cho m: \(-1 < m < 1/2\).,5
What's the Next Step?,2,"Để giải bất phương trình \(x^2 - 3x + 2 < 0\), ta tìm nghiệm của tam thức \(x^2 - 3x + 2 = 0\). Ta có \(a+b+c = 1-3+2=0\), nên nghiệm là \(x_1=1, x_2=2\). Bước tiếp theo là gì?","Lập bảng xét dấu cho tam thức \(x^2 - 3x + 2\) với hai nghiệm 1 và 2. Hoặc sử dụng quy tắc 'trong trái, ngoài cùng' (vì a=1>0).",Xác định dấu của tam thức bậc hai trên các khoảng.,Xét dấu tam thức bậc hai.,,
Ordering Steps,4,"Sắp xếp các bước để tính diện tích tam giác ABC biết AB=c, AC=b và góc A.",Thứ tự đúng áp dụng công thức diện tích.,Công thức diện tích tam giác khi biết hai cạnh và góc xen giữa.,\(S = \frac{1}{2}ab \sin C\).,,
,,,,,,Xác định hai cạnh đã biết là AB=c và AC=b.,1
,,,,,,Xác định góc xen giữa hai cạnh đó là góc A.,2
,,,,,,Viết công thức tính diện tích tam giác: \(S_{ABC} = \frac{1}{2} \cdot AB \cdot AC \cdot \sin A\).,3
,,,,,,Thay các giá trị đã biết vào công thức: \(S_{ABC} = \frac{1}{2} \cdot c \cdot b \cdot \sin A\).,4
What's the Next Step?,5,"Cho đường tròn (O) và dây cung AB không đi qua tâm. Gọi M là trung điểm của AB. Để chứng minh OM vuông góc với AB, ta xét hai tam giác OMA và OMB. Ta có OA=OB=R, AM=MB (M là trung điểm), OM là cạnh chung. Bước tiếp theo là gì?",Kết luận \(\triangle OMA = \triangle OMB\) (c.c.c).,"Từ đó suy ra góc OMA = góc OMB. Mà hai góc này kề bù nên mỗi góc bằng 90 độ, suy ra OM ⊥ AB.",Trường hợp bằng nhau của tam giác.,,
Ordering Steps,7,Sắp xếp các bước để tìm tọa độ giao điểm của parabol \(y=x^2\) và đường thẳng \(y=x+2\).,Thứ tự đúng giúp giải phương trình hoành độ giao điểm.,Giao điểm (nếu có) sẽ có tọa độ thỏa mãn cả hai phương trình.,Cho hai vế phải bằng nhau.,,
,,,,,,Viết phương trình hoành độ giao điểm: \(x^2 = x+2\).,1
,,,,,,Chuyển vế để đưa về phương trình bậc hai: \(x^2 - x - 2 = 0\).,2
,,,,,,Giải phương trình bậc hai này. Ta thấy \(a-b+c = 1-(-1)+(-2) = 0\).,3
,,,,,,Phương trình có hai nghiệm: \(x_1 = -1\) và \(x_2 = -c/a = -(-2)/1 = 2\).,4
,,,,,,"Với \(x_1 = -1\), thay vào \(y=x+2\) (hoặc \(y=x^2\)): \(y_1 = -1+2 = 1\). Giao điểm thứ nhất là (-1; 1).",5
,,,,,,"Với \(x_2 = 2\), thay vào \(y=x+2\): \(y_2 = 2+2 = 4\). Giao điểm thứ hai là (2; 4).",6
What's the Next Step?,6,Một nhóm có 5 nam và 3 nữ. Chọn ngẫu nhiên 2 người. Số cách chọn 2 người bất kỳ là \(C_8^2 = 28\). Gọi A là biến cố 'Chọn được 2 người cùng giới tính'. Trường hợp 1: Chọn 2 nam có \(C_5^2 = 10\) cách. Bước tiếp theo để tính số kết quả thuận lợi cho A là gì?,Tính số cách chọn 2 nữ: \(C_3^2 = 3\) cách. Sau đó cộng số cách của hai trường hợp: \(n(A) = 10 + 3 = 13\).,Xét tất cả các trường hợp để chọn được 2 người cùng giới.,Còn trường hợp nào cùng giới nữa không?,,
Ordering Steps,10,"Sắp xếp các bước để tính diện tích xung quanh của một hình nón cụt có bán kính đáy lớn R, bán kính đáy nhỏ r và đường sinh l (của hình nón cụt).",Thứ tự đúng áp dụng công thức diện tích nón cụt.,Công thức \(S_{xq} = \pi(R+r)l\).,Tổng hai bán kính nhân pi nhân đường sinh.,,
,,,,,,Xác định bán kính đáy lớn R.,1
,,,,,,Xác định bán kính đáy nhỏ r.,2
,,,,,,Xác định đường sinh của hình nón cụt là l.,3
,,,,,,Viết công thức tính diện tích xung quanh hình nón cụt: \(S_{xq} = \pi (R+r)l\).,4
,,,,,,Thay các giá trị đã biết vào công thức để tính toán.,5
What's the Next Step?,2,Để tìm giá trị của m sao cho bất phương trình \((m-2)x > m^2-4\) vô nghiệm. Bước 1: Xét trường hợp \(m-2=0 \Rightarrow m=2\). Bất phương trình trở thành \(0x > 0\) (vô lý). Vậy m=2 là một giá trị làm BPT vô nghiệm. Bước tiếp theo là xét trường hợp nào?,"Xét trường hợp \(m-2 \ne 0\). Khi đó, để BPT vô nghiệm, ta cần \(m-2 < 0\) (để khi chia thì đổi chiều) VÀ \(\frac{m^2-4}{m-2}\) phải là một giá trị mà x không thể lớn hơn (ví dụ, nếu BPT trở thành \(x < A\) thì không thể vô nghiệm). Hoặc cách khác, BPT \(Ax > B\) vô nghiệm khi \(A=0\) và \(B \ge 0\). Ta đã xét A=0. Vậy không có trường hợp \(m-2 \ne 0\) nào làm BPT vô nghiệm.",Bất phương trình bậc nhất vô nghiệm khi hệ số của x bằng 0 và vế phải không thỏa mãn điều kiện.,Khi nào Ax > B vô nghiệm?,,
Concept/Theorem/Formula,1,Nêu các bước giải bài toán bằng cách lập phương trình chứa ẩn ở mẫu.,"Gồm 4 bước: 
1. Chọn ẩn số và đặt điều kiện thích hợp cho ẩn số. Tìm điều kiện xác định của phương trình.
2. Biểu diễn các đại lượng chưa biết theo ẩn và các đại lượng đã biết.
3. Lập phương trình biểu thị mối quan hệ giữa các đại lượng.
4. Giải phương trình vừa lập, sau đó đối chiếu nghiệm với điều kiện xác định và điều kiện của ẩn để kết luận.","Đây là quy trình chuẩn để giải một dạng toán vận dụng cao, đòi hỏi sự cẩn thận ở bước đặt điều kiện và kiểm tra nghiệm, vì nghiệm tìm được có thể không thỏa mãn điều kiện thực tế của bài toán hoặc điều kiện xác định của phương trình.",Đừng quên bước quan trọng nhất: Đối chiếu nghiệm với điều kiện xác định.,,
Concept/Theorem/Formula,1,Khi nào một hệ hai phương trình bậc nhất hai ẩn \(\begin{cases} ax + by = c \\ a'x + b'y = c' \end{cases}\) có vô số nghiệm? Nêu điều kiện về các hệ số.,"Hệ phương trình có vô số nghiệm khi hai đường thẳng biểu diễn hai phương trình của hệ trùng nhau. Điều kiện: \(\frac{a}{a'} = \frac{b}{b'} = \frac{c}{c'}\) (với điều kiện các mẫu \(a', b', c'\) khác 0).","Khi các tỉ số này bằng nhau, mọi bộ hệ số của phương trình này đều là bội của phương trình kia, tức là chúng thực chất chỉ là một phương trình. Do đó, có vô số cặp (x; y) thỏa mãn.",Hãy nghĩ về vị trí tương đối của hai đường thẳng.,,
Concept/Theorem/Formula,1,Trình bày phương pháp giải hệ phương trình bằng phương pháp cộng đại số trong trường hợp hệ số của một ẩn không đối nhau hoặc bằng nhau.,"Ta nhân cả hai vế của mỗi phương trình với một số thích hợp (khác 0) sao cho hệ số của cùng một ẩn trong hai phương trình của hệ mới là hai số đối nhau. Sau đó, cộng vế với vế của hai phương trình để được một phương trình mới chỉ còn một ẩn và tiếp tục giải.","Đây là bước tổng quát hóa của phương pháp cộng đại số, cho phép giải bất kỳ hệ phương trình bậc nhất hai ẩn nào. Việc chọn số để nhân đòi hỏi phải tìm bội chung nhỏ nhất của hai hệ số.",Mục tiêu là làm cho hệ số của x (hoặc y) trong hai phương trình trở thành hai số đối nhau.,,
Fill in the Blank,1,"Một ca nô xuôi dòng 42 km rồi ngược dòng 20 km hết tổng cộng 5 giờ. Biết vận tốc dòng nước là 2 km/h. Gọi vận tốc thực của ca nô là x (km/h, x > 2). Phương trình biểu thị mối quan hệ của bài toán là \(\frac{42}{x+2} + \frac{20}{___} = 5\).",x - 2,Vận tốc ngược dòng bằng vận tốc thực trừ đi vận tốc dòng nước. Thời gian ngược dòng là quãng đường ngược dòng chia cho vận tốc ngược dòng.,Vận tốc ngược dòng là gì?,,
Fill in the Blank,1,"Để hệ phương trình \(\begin{cases} 2x - y = 5 \\ mx + 3y = 1 \end{cases}\) có nghiệm duy nhất, điều kiện của tham số m là \(\frac{2}{m} \ne \frac{-1}{3}\), tức là \(m \ne ___\).",-6,Hệ phương trình có nghiệm duy nhất khi \(\frac{a}{a'} \ne \frac{b}{b'}\). Áp dụng vào hệ ta có \(\frac{2}{m} \ne \frac{-1}{3} \Rightarrow -m \ne 6 \Rightarrow m \ne -6\).,Sử dụng điều kiện về tỉ số các hệ số để hệ có nghiệm duy nhất.,,
Fill in the Blank,1,"Hai vòi nước cùng chảy vào một bể cạn thì sau 6 giờ đầy bể. Nếu mở vòi I trong 2 giờ và vòi II trong 3 giờ thì được 2/5 bể. Gọi thời gian để vòi I và vòi II chảy một mình đầy bể lần lượt là x, y giờ (x, y > 6). Hệ phương trình của bài toán là \(\begin{cases} \frac{1}{x} + \frac{1}{y} = \frac{1}{6} \\ \frac{2}{x} + \frac{3}{y} = ___ \end{cases}\).",2/5,"Trong 2 giờ, vòi I chảy được 2/x bể. Trong 3 giờ, vòi II chảy được 3/y bể. Tổng lượng nước hai vòi chảy được là 2/5 bể.",Lượng nước chảy được bằng năng suất nhân với thời gian.,,
Short Answer/Open-ended,1,Tìm m để hệ phương trình \(\begin{cases} mx + y = m+1 \\ x + my = 2 \end{cases}\) vô nghiệm.,"Hệ vô nghiệm khi \(\frac{m}{1} = \frac{1}{m} \ne \frac{m+1}{2}\). Từ \(\frac{m}{1} = \frac{1}{m} \Rightarrow m^2 = 1 \Rightarrow m = 1\) hoặc \(m = -1\). 
- Với m = 1, ta có \(\frac{1}{1} = \frac{1}{1} = \frac{1+1}{2}\). Hệ có vô số nghiệm (loại). 
- Với m = -1, ta có \(\frac{-1}{1} = \frac{1}{-1} \ne \frac{-1+1}{2}\) (tức là \(-1 \ne 0\)). Hệ vô nghiệm. 
Vậy m = -1.",Bài toán đòi hỏi phải xét cả hai điều kiện của trường hợp vô nghiệm (\(a/a' = b/b'\) và \(b/b' \ne c/c'\)) và thử lại các giá trị của m tìm được.,Sử dụng điều kiện về tỉ số các hệ số và cẩn thận thử lại các trường hợp.,,
Short Answer/Open-ended,1,Một mảnh đất hình chữ nhật có chu vi là 90m. Nếu giảm chiều dài 5m và tăng chiều rộng 4m thì diện tích tăng thêm 20m². Tính kích thước ban đầu của mảnh đất.,"Gọi chiều dài và chiều rộng ban đầu là x, y (m; x > y > 0). 
Ta có hệ: \(\begin{cases} 2(x+y) = 90 \\ (x-5)(y+4) = xy + 20 \end{cases} \Leftrightarrow \begin{cases} x+y = 45 \\ 4x - 5y = 40 \end{cases}\). 
Giải hệ ta được x = 25, y = 20. 
Vậy chiều dài là 25m, chiều rộng là 20m.","Đây là bài toán giải bằng cách lập hệ phương trình, yêu cầu biểu diễn các mối quan hệ về chu vi và diện tích thành các phương trình toán học.",Lập một phương trình cho chu vi và một phương trình cho sự thay đổi diện tích.,,
Identify the Error,1,"Tìm lỗi sai trong lời giải sau: Giải phương trình \(\frac{x}{x-2} - \frac{2}{x+2} = \frac{4}{x^2-4}\). 
ĐKXĐ: \(x \ne 2\). 
Quy đồng và khử mẫu: \(x(x+2) - 2(x-2) = 4 \Leftrightarrow x^2 + 2x - 2x + 4 = 4 \Leftrightarrow x^2 = 0 \Leftrightarrow x = 0\). 
Vậy nghiệm của phương trình là x = 0.","Lỗi sai nằm ở việc tìm Điều kiện xác định (ĐKXĐ). Mẫu thức chung là \(x^2 - 4 = (x-2)(x+2)\). Do đó, ĐKXĐ phải là \(x \ne 2\) và \(x \ne -2\). Lời giải đã bỏ sót điều kiện \(x \ne -2\). Tuy nhiên, nghiệm x = 0 vẫn thỏa mãn ĐKXĐ đầy đủ nên kết quả cuối cùng vẫn đúng, nhưng quá trình lập luận là sai.","Trong các phương trình chứa ẩn ở mẫu, việc tìm đầy đủ điều kiện xác định là bước cực kỳ quan trọng để đảm bảo không nhận các nghiệm ngoại lai.",Kiểm tra tất cả các mẫu thức để tìm ĐKXĐ.,,
Identify the Error,1,"Tìm lỗi sai khi giải hệ: \(\begin{cases} 3x - 2y = 1 \\ -6x + 4y = 0 \end{cases}\). 
Nhân phương trình (1) với 2 ta được: \(6x - 4y = 2\) (3). 
Lấy (3) cộng (2) vế theo vế: \((6x-6x) + (-4y+4y) = 2+0 \Rightarrow 0x = 2\) (vô lý). 
Kết luận: Hệ phương trình có nghiệm duy nhất.","Lỗi sai nằm ở kết luận. Khi giải hệ phương trình mà ra một đẳng thức vô lý (như 0x = 2), điều đó chứng tỏ hệ phương trình VÔ NGHIỆM, chứ không phải có nghiệm duy nhất.","Kết quả 0x = 2 (hoặc 0 = 2) là một mâu thuẫn, cho thấy không tồn tại cặp (x, y) nào có thể thỏa mãn đồng thời cả hai phương trình.","Khi giải ra một điều vô lý (0 = một số khác 0), hệ phương trình có trạng thái gì?",,
What's the Next Step?,1,"Để giải bài toán: 'Một phòng họp có 360 ghế được xếp thành các dãy có số ghế bằng nhau. Nếu thêm 1 dãy và mỗi dãy thêm 1 ghế thì phòng có 400 ghế.' Ta gọi x là số dãy ghế ban đầu, y là số ghế trong mỗi dãy (x, y nguyên dương). Ta lập được hệ phương trình: \(\begin{cases} xy = 360 \\ (x+1)(y+1) = 400 \end{cases}\). Bước tiếp theo để giải hệ này là gì?","Khai triển phương trình thứ hai: \(xy + x + y + 1 = 400\), sau đó thế \(xy = 360\) từ phương trình thứ nhất vào để được một phương trình mới chỉ chứa x và y: \(360 + x + y + 1 = 400 \Leftrightarrow x + y = 39\).","Bước này giúp đơn giản hóa hệ phương trình, đưa về một hệ quen thuộc hơn gồm một phương trình tích và một phương trình tổng, từ đó có thể giải bằng phương pháp thế.",Sử dụng phương trình (1) để đơn giản hóa phương trình (2).,,
What's the Next Step?,1,"Cho hệ phương trình \(\begin{cases} x - my = 1 \\ mx + y = 2 \end{cases}\). Để tìm m sao cho hệ có nghiệm (x, y) thỏa mãn \(x+y=3\), ta đã rút \(x = 1+my\) từ phương trình (1). Bước tiếp theo là gì?",Thế \(x = 1+my\) vào phương trình thứ hai: \(m(1+my) + y = 2\) để tìm y theo m.,"Đây là bước cơ bản của phương pháp thế. Sau khi tìm được y theo m, ta sẽ tìm x theo m, rồi thế cả x và y vào điều kiện \(x+y=3\) để giải phương trình tìm m.",Sử dụng phương pháp thế để giải hệ phương trình.,,
What's the Next Step?,1,"Để giải phương trình \(\frac{1}{x^2-x+1} - \frac{1}{x^2-x+2} = \frac{1}{6}\), một cách hiệu quả là đặt ẩn phụ. Ta đã nhận thấy hai mẫu có phần chung là \(x^2-x\). Bước tiếp theo là gì?","Đặt \(t = x^2 - x + 1\). Vì \(x^2 - x + 1 = (x - 1/2)^2 + 3/4 \ge 3/4\), nên điều kiện là \(t \ge 3/4\). Phương trình trở thành \(\frac{1}{t} - \frac{1}{t+1} = \frac{1}{6}\).",Đặt ẩn phụ giúp đưa một phương trình phức tạp về một phương trình đơn giản hơn với ẩn t. Việc tìm điều kiện cho ẩn phụ là rất quan trọng để loại nghiệm không phù hợp sau này.,Đặt ẩn phụ cho biểu thức lặp lại và đừng quên tìm điều kiện cho ẩn phụ.,,
What's the Next Step?,1,"Cho hệ phương trình \(\begin{cases} 2x + 3y = m \\ -x + y = 1 \end{cases}\). Để tìm m sao cho hệ có nghiệm duy nhất (x; y) với x > 0, y > 0, ta đã giải hệ và tìm được \(x = \frac{m-3}{5}\) và \(y = \frac{m+2}{5}\). Bước tiếp theo là gì?",Giải hệ bất phương trình: \(\begin{cases} x > 0 \\ y > 0 \end{cases} \Leftrightarrow \begin{cases} \frac{m-3}{5} > 0 \\ \frac{m+2}{5} > 0 \end{cases} \Leftrightarrow \begin{cases} m-3 > 0 \\ m+2 > 0 \end{cases}\).,"Sau khi tìm được nghiệm (x, y) theo tham số m, ta cần áp đặt các điều kiện của bài toán lên nghiệm đó để tìm ra khoảng giá trị phù hợp của m.",Áp đặt điều kiện x > 0 và y > 0 lên biểu thức nghiệm vừa tìm được.,,
Ordering Steps,1,Sắp xếp các bước giải bài toán: 'Hai người thợ cùng làm một công việc thì 16 giờ xong. Nếu người thứ nhất làm 3 giờ và người thứ hai làm 6 giờ thì họ làm được 25% công việc. Hỏi mỗi người làm một mình thì bao lâu xong?',Đây là quy trình chuẩn để giải bài toán năng suất chung-riêng bằng cách lập hệ phương trình.,"Việc xác định đúng các đại lượng (năng suất, thời gian) và mối quan hệ giữa chúng là chìa khóa để lập đúng hệ phương trình. Các bước được sắp xếp theo trình tự logic từ việc định nghĩa ẩn đến khi ra kết quả cuối cùng.",Bắt đầu bằng việc gọi ẩn và xác định đơn vị công việc (năng suất).,,
,,,,,,"Gọi thời gian người thứ nhất và người thứ hai làm một mình xong công việc lần lượt là x, y (giờ, x, y > 16). Năng suất mỗi giờ của họ lần lượt là 1/x và 1/y (công việc/giờ).",1
,,,,,,Lập phương trình thứ nhất dựa trên dữ kiện làm chung: \(\frac{1}{x} + \frac{1}{y} = \frac{1}{16}\).,2
,,,,,,Lập phương trình thứ hai dựa trên dữ kiện làm riêng: \(3 \cdot \frac{1}{x} + 6 \cdot \frac{1}{y} = \frac{25}{100} = \frac{1}{4}\).,3
,,,,,,"Đặt \(u = 1/x, v = 1/y\) và giải hệ phương trình với ẩn u, v: \(\begin{cases} u + v = 1/16 \\ 3u + 6v = 1/4 \end{cases}\) để tìm ra u = 1/24, v = 1/48.",4
,,,,,,"Suy ra x = 24, y = 48. Đối chiếu điều kiện và kết luận: Người thứ nhất làm một mình hết 24 giờ, người thứ hai hết 48 giờ.",5
Ordering Steps,1,Sắp xếp các bước tìm m để hệ phương trình \(\begin{cases} x+y=m \\ x^2+y^2=6-m^2 \end{cases}\) có nghiệm.,"Đây là một bài toán biện luận hệ phương trình không phải bậc nhất, đòi hỏi kỹ năng biến đổi và sử dụng điều kiện có nghiệm của phương trình bậc hai.","Phương pháp là đưa hệ về một phương trình bậc hai theo một ẩn (hoặc một biểu thức đối xứng) và sử dụng điều kiện \(\Delta \ge 0\) để tìm m. Điều kiện \(S^2 \ge 4P\) là một hệ quả quan trọng từ bất đẳng thức AM-GM hoặc điều kiện có nghiệm của phương trình bậc hai, rất hữu ích cho các bài toán hệ đối xứng.",Sử dụng các biểu thức đối xứng S = x+y và P = xy.,,
,,,,,,Biến đổi phương trình thứ hai: \((x+y)^2 - 2xy = 6 - m^2\).,1
,,,,,,Thế \(x+y=m\) vào phương trình vừa biến đổi: \(m^2 - 2xy = 6 - m^2 \Rightarrow 2xy = 2m^2 - 6 \Rightarrow xy = m^2 - 3\).,2
,,,,,,"Hệ có nghiệm khi và chỉ khi phương trình \(T^2 - (x+y)T + xy = 0\) (với T là nghiệm x, y) có nghiệm. Tức là \(T^2 - mT + (m^2-3) = 0\) phải có nghiệm.",3
,,,,,,Xét điều kiện có nghiệm của phương trình bậc hai ẩn T: \(\Delta = (-m)^2 - 4(m^2-3) \ge 0\).,4
,,,,,,Giải bất phương trình: \(m^2 - 4m^2 + 12 \ge 0 \Leftrightarrow -3m^2 \ge -12 \Leftrightarrow m^2 \le 4 \Leftrightarrow -2 \le m \le 2\).,5
Concept/Theorem/Formula,2,"Phát biểu bất đẳng thức Cauchy (AM-GM) cho hai số không âm a, b và trường hợp dấu '=' xảy ra.","Với hai số không âm a và b, ta có \(\frac{a+b}{2} \ge \sqrt{ab}\) hay \(a+b \ge 2\sqrt{ab}\). Dấu '=' xảy ra khi và chỉ khi a = b.","Đây là một trong những bất đẳng thức cơ bản và quan trọng nhất, được sử dụng để tìm giá trị lớn nhất, nhỏ nhất của các biểu thức. Dạng \(a+b \ge 2\sqrt{ab}\) thường được dùng khi biết tích, tìm min của tổng. Dạng \(ab \le (\frac{a+b}{2})^2\) thường được dùng khi biết tổng, tìm max của tích.",Trung bình cộng luôn lớn hơn hoặc bằng trung bình nhân.,,
Concept/Theorem/Formula,2,Nêu quy tắc nhân hai vế của một bất phương trình với một số. Cần chú ý điều gì?,"Khi nhân (hoặc chia) cả hai vế của một bất phương trình với cùng một số khác 0, ta phải:
- Giữ nguyên chiều bất phương trình nếu số đó dương.
- Đổi chiều bất phương trình nếu số đó âm.","Đây là quy tắc cực kỳ quan trọng và là nơi học sinh thường mắc lỗi. Ví dụ, từ \(-2x < 4\), nếu chia cho -2 thì phải đổi chiều thành \(x > -2\).",Nhân với số âm thì sao?,,
Concept/Theorem/Formula,2,Bất đẳng thức chứa dấu giá trị tuyệt đối có dạng \(|A| + |B| \ge |A+B|\). Dấu bằng xảy ra khi nào?,"Dấu '=' xảy ra khi và chỉ khi A và B cùng dấu, tức là \(AB \ge 0\).","Bất đẳng thức này rất hữu dụng để tìm giá trị nhỏ nhất của các biểu thức có chứa tổng các giá trị tuyệt đối. Ví dụ, tìm GTNN của \(|x-1| + |x-5| = |x-1| + |5-x| \ge |(x-1)+(5-x)| = 4\).",Hãy nghĩ về việc cộng hai số cùng dấu và hai số trái dấu.,,
Concept/Theorem/Formula,2,"Chứng minh rằng với mọi số thực a, b, ta có \(a^2 + b^2 \ge 2ab\).","Ta có: \(a^2 + b^2 \ge 2ab \Leftrightarrow a^2 - 2ab + b^2 \ge 0 \Leftrightarrow (a-b)^2 \ge 0\). Bất đẳng thức cuối cùng luôn đúng với mọi a, b. Do các phép biến đổi là tương đương nên bất đẳng thức ban đầu được chứng minh. Dấu '=' xảy ra khi a = b.","Đây là một bất đẳng thức nền tảng, là trường hợp đặc biệt của bất đẳng thức Cauchy cho hai số \(a^2\) và \(b^2\). Phương pháp chứng minh bằng biến đổi tương đương về một dạng luôn đúng là phương pháp rất phổ biến.",Chuyển vế và đưa về dạng bình phương của một hiệu.,,
Concept/Theorem/Formula,2,Nêu định nghĩa và cách giải bất phương trình bậc nhất một ẩn dạng \(ax + b < 0\) trong trường hợp \(a < 0\).,"Bất phương trình bậc nhất một ẩn là bất phương trình có dạng \(ax+b<0, ax+b>0, ax+b \le 0, ax+b \ge 0\) với \(a \ne 0\). 
Để giải \(ax+b < 0\) với \(a < 0\), ta làm như sau: 
1. Chuyển vế: \(ax < -b\). 
2. Chia cả hai vế cho a (vì \(a<0\) nên phải đổi chiều bất phương trình): \(x > -b/a\).","Việc nhấn mạnh trường hợp \(a<0\) giúp học sinh ghi nhớ quy tắc đổi chiều bất phương trình, một lỗi sai phổ biến. Ví dụ: giải \(-3x + 6 < 0 \Rightarrow -3x < -6 \Rightarrow x > 2\).","Khi chia cho một số âm, chiều của bất đẳng thức sẽ thay đổi như thế nào?",,
Concept/Theorem/Formula,2,"Bất đẳng thức Bunyakovsky (Cauchy-Schwarz) cho hai cặp số \((a, b)\) và \((x, y)\) được phát biểu như thế nào?","Với hai cặp số thực bất kỳ \((a, b)\) và \((x, y)\), ta có: \((ax+by)^2 \le (a^2+b^2)(x^2+y^2)\). Dấu '=' xảy ra khi \(\frac{a}{x} = \frac{b}{y}\) (với quy ước mẫu bằng 0 thì tử bằng 0).","Đây là một bất đẳng thức rất mạnh, thường được dùng trong các bài toán chứng minh bất đẳng thức và tìm giá trị lớn nhất, nhỏ nhất ở mức độ vận dụng cao. Nó là sự tổng quát hóa của nhiều bất đẳng thức quen thuộc.",Bình phương của tổng các tích...,,
Concept/Theorem/Formula,2,"Làm thế nào để giải bất phương trình tích/thương, ví dụ \(A(x) \cdot B(x) > 0\) hoặc \(\frac{A(x)}{B(x)} < 0\)?","Ta sử dụng phương pháp xét dấu. Các bước:
1. Tìm nghiệm của các biểu thức \(A(x), B(x)\).
2. Sắp xếp các nghiệm trên trục số.
3. Lập bảng xét dấu cho \(A(x), B(x)\) và cho tích/thương.
4. Dựa vào dấu của bất phương trình trong đề bài để kết luận tập nghiệm.","Phương pháp xét dấu (lập bảng hoặc trục số) là công cụ hiệu quả để giải các bất phương trình phức tạp, đặc biệt là các bất phương trình bậc cao hoặc chứa phân thức, bằng cách chia bài toán thành việc xét dấu của các biểu thức đơn giản hơn.","Sử dụng quy tắc 'phải cùng, trái khác' cho các nhị thức bậc nhất.",,
Fill in the Blank,2,Cho x > 2. Giá trị nhỏ nhất của biểu thức \(A = x + \frac{1}{x-2}\) là ___. Dấu '=' xảy ra khi x = ___.,3; 3,"Ta viết lại \(A = (x-2) + \frac{1}{x-2} + 2\). Vì x > 2 nên x-2 > 0. Áp dụng BĐT Cauchy cho hai số dương \(x-2\) và \(\frac{1}{x-2}\), ta có \((x-2) + \frac{1}{x-2} \ge 2\sqrt{(x-2)\frac{1}{x-2}} = 2\). Do đó \(A \ge 2+2=4\). Lỗi, phải là \(A \ge 2+2=4\). Chỉnh lại: \(A = (x-2) + \frac{1}{x-2} + 2 \ge 2\sqrt{(x-2)\frac{1}{x-2}} + 2 = 2+2=4\). Dấu '=' xảy ra khi \(x-2 = \frac{1}{x-2} \Rightarrow (x-2)^2=1 \Rightarrow x-2=1 \Rightarrow x=3\). Vậy GTNN là 4, xảy ra khi x=3.  

**Sửa lại câu hỏi và đáp án cho đúng:** Cho x > 2. Giá trị nhỏ nhất của biểu thức \(A = x + \frac{4}{x-2}\) là ___. Dấu '=' xảy ra khi x = ___.
**Đáp án đúng:** 6; 4. 
**Giải thích:** \(A = (x-2) + \frac{4}{x-2} + 2 \ge 2\sqrt{(x-2)\frac{4}{x-2}} + 2 = 2\sqrt{4} + 2 = 6\). Dấu '=' xảy ra khi \(x-2 = \frac{4}{x-2} \Rightarrow (x-2)^2=4 \Rightarrow x-2=2 \Rightarrow x=4\).",Thêm bớt để áp dụng bất đẳng thức Cauchy.,,
Fill in the Blank,2,Tập nghiệm của bất phương trình \(3(x-2) - 2(x+1) \le 5\) là \(x \le ___\).,13,\(3x - 6 - 2x - 2 \le 5 \Leftrightarrow x - 8 \le 5 \Leftrightarrow x \le 13\).,Khai triển và thu gọn bất phương trình.,,
Fill in the Blank,2,"Với mọi số thực x, y, ta có bất đẳng thức \((x+y)^2 \ge ___xy\).",4,"Bất đẳng thức này tương đương với \(x^2+2xy+y^2 \ge 4xy \Leftrightarrow x^2-2xy+y^2 \ge 0 \Leftrightarrow (x-y)^2 \ge 0\), luôn đúng.",Đây là một hệ quả của bất đẳng thức Cauchy.,,
Fill in the Blank,2,"Để giải bất phương trình \(-5x + 15 > 0\), ta chuyển vế được \(-5x > -15\). Sau đó chia cả hai vế cho -5 và đổi chiều bất phương trình, ta được nghiệm là \(x < ___\).",3,"Khi chia cả hai vế của bất phương trình cho một số âm, ta phải đổi chiều của bất phương trình. \(-15 / -5 = 3\).",Nhớ đổi chiều khi chia cho số âm.,,
